Run,ColdStartTime(ms),DigiaInitTime(ms),Timestamp
1,342,313,2025-04-29 15:23:24
2,221,191,2025-04-29 15:23:26
3,198,174,2025-04-29 15:23:27
4,224,195,2025-04-29 15:23:29
5,154,139,2025-04-29 15:23:30
6,184,158,2025-04-29 15:23:32
7,137,120,2025-04-29 15:23:33
8,152,121,2025-04-29 15:23:34
9,152,121,2025-04-29 15:23:36
10,193,172,2025-04-29 15:23:37
11,194,166,2025-04-29 15:23:38
12,153,126,2025-04-29 15:23:40
13,174,151,2025-04-29 15:23:41
14,173,152,2025-04-29 15:23:43
15,188,171,2025-04-29 15:23:44
